SNR,Uncoded,Hamming,Bit-Flip,LLR,MR-LDPC
0.00000000,0.07860608,0.04402409,0.07860008,0.00177600,0.00000000
0.50000000,0.06697887,0.03308378,0.06697287,0.00003680,0.00000000
1.00000000,0.05620226,0.02403662,0.05619726,0.00000060,0.00000000
1.50000000,0.04628745,0.01678567,0.04628325,0.00000040,0.00000000
2.00000000,0.03741044,0.01125006,0.03740684,0.00000020,0.00000000
2.50000000,0.02960643,0.00718971,0.02960303,0.00000200,0.00000000
3.00000000,0.02282102,0.00438235,0.02281822,0.00000020,0.00000000
3.50000000,0.01708882,0.00247310,0.01708662,0.00000080,0.00000000
4.00000000,0.01243941,0.00134225,0.01243761,0.00000100,0.00000000
4.50000000,0.00874181,0.00065450,0.00874081,0.00000260,0.00000000
5.00000000,0.00590241,0.00029015,0.00590161,0.00000160,0.00000000
