p,size,error,Hamming
0.5,100,0.499245,0.500563
0.5,200,0.500774,0.500563
0.5,500,0.500388,0.500563
0.5,1000,0.499911,0.500563
0.45,100,0.466406,0.461657
0.45,200,0.466974,0.461657
0.45,500,0.460611,0.461657
0.45,1000,0.453878,0.461657
0.405,100,0.437056,0.426359
0.405,200,0.436476,0.426359
0.405,500,0.423085,0.426359
0.405,1000,0.414314,0.426359
0.3645,100,0.408694,0.388751
0.3645,200,0.408999,0.388751
0.3645,500,0.390386,0.388751
0.3645,1000,0.377777,0.388751
0.32805,100,0.381715,0.351967
0.32805,200,0.382301,0.351967
0.32805,500,0.36001,0.351967
0.32805,1000,0.343176,0.351967
0.295245,100,0.357362,0.316421
0.295245,200,0.356712,0.316421
0.295245,500,0.329641,0.316421
0.295245,1000,0.311904,0.316421
0.26572,100,0.33279,0.281004
0.26572,200,0.332044,0.281004
0.26572,500,0.302619,0.281004
0.26572,1000,0.282779,0.281004
0.239148,100,0.307703,0.247739
0.239148,200,0.308075,0.247739
0.239148,500,0.277844,0.247739
0.239148,1000,0.255452,0.247739
0.215234,100,0.283123,0.215721
0.215234,200,0.284059,0.215721
0.215234,500,0.252882,0.215721
0.215234,1000,0.229805,0.215721
0.19371,100,0.258651,0.187966
0.19371,200,0.259449,0.187966
0.19371,500,0.230399,0.187966
0.19371,1000,0.205843,0.187966
0.174339,100,0.233904,0.161292
0.174339,200,0.235111,0.161292
0.174339,500,0.207668,0.161292
0.174339,1000,0.184958,0.161292
0.156905,100,0.210593,0.138319
0.156905,200,0.210917,0.138319
0.156905,500,0.186887,0.138319
0.156905,1000,0.162131,0.138319
0.141215,100,0.186907,0.117343
0.141215,200,0.187388,0.117343
0.141215,500,0.166487,0.117343
0.141215,1000,0.144006,0.117343
0.127093,100,0.163407,0.099524
0.127093,200,0.164742,0.099524
0.127093,500,0.147826,0.099524
0.127093,1000,0.126156,0.099524
0.114384,100,0.140554,0.08417
0.114384,200,0.140809,0.08417
0.114384,500,0.129873,0.08417
0.114384,1000,0.109953,0.08417
0.102946,100,0.121972,0.070325
0.102946,200,0.120433,0.070325
0.102946,500,0.11286,0.070325
0.102946,1000,0.095216,0.070325
0.092651,100,0.101459,0.05858
0.092651,200,0.100502,0.05858
0.092651,500,0.095541,0.05858
0.092651,1000,0.080871,0.05858
0.083386,100,0.084209,0.04927
0.083386,200,0.083015,0.04927
0.083386,500,0.07979,0.04927
0.083386,1000,0.068314,0.04927
0.075047,100,0.070136,0.040699
0.075047,200,0.066662,0.040699
0.075047,500,0.06484,0.040699
0.075047,1000,0.057307,0.040699
0.067543,100,0.057457,0.034087
0.067543,200,0.053404,0.034087
0.067543,500,0.052254,0.034087
0.067543,1000,0.047139,0.034087
0.060788,100,0.047534,0.02807
0.060788,200,0.042261,0.02807
0.060788,500,0.040288,0.02807
0.060788,1000,0.037883,0.02807
0.05471,100,0.037489,0.022
0.05471,200,0.03344,0.022
0.05471,500,0.031658,0.022
0.05471,1000,0.031081,0.022
0.049238,100,0.030517,0.019
0.049238,200,0.025885,0.019
0.049238,500,0.024103,0.019
0.049238,1000,0.023782,0.019
0.044315,100,0.025581,0.015545
0.044315,200,0.020023,0.015545
0.044315,500,0.018862,0.015545
0.044315,1000,0.018384,0.015545
0.039883,100,0.020866,0.0126
0.039883,200,0.015984,0.0126
0.039883,500,0.014078,0.0126
0.039883,1000,0.013413,0.0126
0.035895,100,0.017138,0.01072
0.035895,200,0.012491,0.01072
0.035895,500,0.010686,0.01072
0.035895,1000,0.009871,0.01072
0.032305,100,0.014829,0.008857
0.032305,200,0.010154,0.008857
0.032305,500,0.008254,0.008857
0.032305,1000,0.007472,0.008857
0.029075,100,0.012139,0.006819
0.029075,200,0.008346,0.006819
0.029075,500,0.006195,0.006819
0.029075,1000,0.005969,0.006819
0.026167,100,0.010286,0.005678
0.026167,200,0.006712,0.005678
0.026167,500,0.005009,0.005678
0.026167,1000,0.004349,0.005678
0.023551,100,0.008873,0.004747
0.023551,200,0.005692,0.004747
0.023551,500,0.004117,0.004747
0.023551,1000,0.00356,0.004747
0.021196,100,0.00787,0.003877
0.021196,200,0.005102,0.003877
0.021196,500,0.003365,0.003877
0.021196,1000,0.002889,0.003877
0.019076,100,0.006839,0.003178
0.019076,200,0.004281,0.003178
0.019076,500,0.002791,0.003178
0.019076,1000,0.002276,0.003178
0.017168,100,0.005966,0.00258
0.017168,200,0.003865,0.00258
0.017168,500,0.002465,0.00258
0.017168,1000,0.001874,0.00258
0.015452,100,0.005404,0.002053
0.015452,200,0.00348,0.002053
0.015452,500,0.002004,0.002053
0.015452,1000,0.001512,0.002053
0.013906,100,0.004787,0.001584
0.013906,200,0.00314,0.001584
0.013906,500,0.001805,0.001584
0.013906,1000,0.001336,0.001584
0.012516,100,0.00429,0.001353
0.012516,200,0.002854,0.001353
0.012516,500,0.001655,0.001353
0.012516,1000,0.001101,0.001353
0.011264,100,0.003725,0.001061
0.011264,200,0.002658,0.001061
0.011264,500,0.001488,0.001061
0.011264,1000,0.001012,0.001061
0.010138,100,0.003264,0.000926
0.010138,200,0.002435,0.000926
0.010138,500,0.001411,0.000926
0.010138,1000,0.00089,0.000926
0.009124,100,0.00292,0.000695
0.009124,200,0.002208,0.000695
0.009124,500,0.0013,0.000695
